Project Name:,Contract Type:,Contract Method:,Community:,Originating Department:,Awarded To:,Award Date:,Award Value:
System Development Support Services,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Rogue Data Corporation,01 April 2016,"$154,940.16"
Residential Care,Consulting,Public Request for Proposals,Baker Lake,Family Services,Lakeview Community Living Incorporated,21 March 2019,"$155,037.34"
Specialized Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 May 2013,"$155,473.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Parkland Community Living & Supports Society,01 April 2018,"$155,868.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Dana Ryz,01 April 2020,"$155,980.00"
Residential Care,Consulting,Sole Source,Arviat,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2015,"$156,135.00"
Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,6639977 Manitoba Ltd.,01 April 2018,"$156,275.00"
Residential Care,Service Contract,Public Request for Proposals,Baker Lake,Family Services,Lakeview Community Living Inc.,01 April 2020,"$156,494.35"
Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Lakeview Community Living Incorporated,20 March 2019,"$156,500.48"
Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Lakeview Community Living Incorporated,20 March 2019,"$156,500.48"
Residential Care,Service Contract,Public Request for Proposals,Coral Harbour,Family Services,6639977 Manitoba Ltd. o/a Massey Home,01 April 2020,"$156,675.00"
Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,663997 Manitoba Ltd.,29 March 2019,"$156,700.00"
Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,663997 Manitoba Ltd.,29 March 2019,"$156,700.00"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Lakeview Community Living Inc.,01 April 2020,"$156,957.70"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,Lakeview Community Living Inc.,01 April 2020,"$156,957.70"
Residential Care,Service Contract,Public Request for Proposals,Coral Harbour,Family Services,Broken Arrow Residential Care Services,01 April 2014,"$157,050.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Country Haven Acres Residential Services Inc.,01 April 2020,"$157,080.00"
Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,6639977 Manitoba Ltd.,01 April 2018,"$157,275.00"
Specialized Residential Care,Service Contract,Extension,Rankin Inlet,Family Services,I Have a Chance Support Services Ltd.,01 April 2013,"$157,581.00"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,I Have a Chance Support Services Ltd,01 April 2014,"$157,732.00"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$158,043.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Michelle Davison,01 April 2020,"$158,385.00"
Residential Care,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Lakeview Community Living Incorporated,29 March 2019,"$158,668.88"
Residential Care,Consulting,Public Request for Proposals,Baker Lake,Family Services,Lakeview Community Living Incorporated,29 March 2019,"$158,967.50"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Lakeview Community Living Inc.,01 April 2020,"$159,118.70"
Specialized Residential Care,Consulting,Sole Source,Sanikiluaq,Family Services,5788847 MB Inc. o/a Gloria's Place,27 July 2015,"$159,120.00"
Residential Care,Service Contract,Public Request for Proposals,Baker Lake,Family Services,Lakeview Community Living Inc.,01 April 2020,"$159,326.75"
Residential Care,Service Contract,Public Request for Proposals,Coral Harbour,Family Services,6639977 Manitoba Ltd. o/a Massey Home,01 April 2020,"$159,925.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,March of Dimes Canada,01 April 2014,"$160,150.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$160,221.70"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$160,701.70"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bayfield Treatment Centres,01 April 2018,"$160,725.34"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,6639977 Manitoba Ltd. o/a Massey Home,01 April 2020,"$160,775.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Barin Croft Residential Services Inc.,01 April 2014,"$160,842.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Ever Bright Complex Needs Support Services,30 August 2020,"$160,910.00"
Development of Income Assistance Management System,Consulting,Extension,Iqaluit,Family Services,Lorraine MacEachren,01 April 2014,"$161,163.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Parkland Community Living & Supports Society,01 April 2020,"$161,274.75"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Parkland Community Living & Supports Society,01 April 2020,"$161,274.75"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Broken Arrow Residential Treatment Services,01 April 2020,"$161,300.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$161,715.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Parkland Community Living & Supports Society,01 April 2020,"$161,952.00"
Skills Training & Community Inclusion,Consulting,Sole Source,Kugluktuk,Family Services,Yellowknife Health & Social Service Authority,01 April 2015,"$161,984.28"
Skills Training & Community Inclusion,Consulting,Sole Source,Gjoa Haven,Family Services,Yellowknife Health & Social Service Authority,01 April 2015,"$161,984.28"
Skills Training & Community Inclusion,Consulting,Sole Source,Gjoa Haven,Family Services,Yellowknife Health & Social Service Authority,01 April 2015,"$161,984.28"
Skills Training and Community Inclusion,Consulting,Sole Source,Kugluktuk,Family Services,Yellowknife Health and Social Services,01 April 2016,"$161,984.28"
Skills Training and Community Inclusion,Consulting,Sole Source,Iqaluit,Family Services,Yellowknife Health and Social Services,01 April 2016,"$161,984.28"
Skills Training and Community Inclusion,Consulting,Sole Source,Kugaaruk,Family Services,Yellowknife Health and Social Services,01 April 2016,"$161,984.28"
Skills Training and Community Inclusion,Consulting,Sole Source,Gjoa Haven,Family Services,Yellowknife Health and Social Services,01 April 2016,"$161,984.28"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Yellowknife Health & Social Service Authority,01 April 2015,"$161,984.28"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,I Have A Chance Support Services Ltd.,01 April 2017,"$162,147.51"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Country Haven Acres Residential Services Inc.,29 April 2019,"$162,410.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,14 October 2020,"$164,050.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,6639977 Manitoba Ltd. o/a The Massey Home,01 April 2017,"$164,400.00"
Residential Care,Service Contract,Public Request for Proposals,Pond Inlet,Family Services,I Have A Chance Support Services Ltd.,02 November 2020,"$164,512.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Arviat,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$164,861.70"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Broken Arrow Residential Treatment Services,01 April 2018,"$165,260.00"
System Development Services-Income Assistance,Service Contract,Sole Source,Nunavut Territory,Family Services,Lorraine MacEachern,01 May 2013,"$166,176.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Alliance Youth Services Inc.,01 April 2018,"$166,717.00"
"Research Project, Poverty Reduction Division",Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,Lichen Consulting Inc.,20 January 2021,"$166,800.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Alliance Youth Services Inc.,01 April 2019,"$166,892.34"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$167,401.70"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Protegra Inc.,01 April 2014,"$167,641.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2019,"$167,798.28"
Specialized Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Protegra Inc.,01 April 2013,"$168,337.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,Independent Advocacy 2010 Inc.,01 August 2016,"$168,579.38"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Protegra Inc.,01 April 2014,"$169,050.00"
Family Care Provider,Consulting,Sole Source,Baker Lake,Family Services,Judy Bourne,01 April 2016,"$169,547.50"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,I Have a Chance Support Services Ltd.,01 April 2013,"$169,607.00"
Guardianship KE (Kugluktuk),Service Contract,Public Request for Proposals,Kugluktuk,Family Services,I Have a Chance Support Svcs Ltd,01 April 2014,"$169,610.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Protegra Inc.,01 April 2015,"$169,696.00"
Standards and Development,Consulting,Extension,Iqaluit,Family Services,Adam Filleul,01 April 2014,"$169,799.40"
CFS Agreement,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Work with Solutions,01 April 2018,"$170,112.30"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,I Have a Chance Support Services Ltd.,01 April 2014,"$170,947.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,14 August 2020,"$171,100.00"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Partners in Parenting Inc.,13 March 2019,"$171,383.10"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,Protegra Inc.,01 April 2016,"$171,685.40"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$172,017.20"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$172,022.50"
Mental Health Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Ranch Ehrlo Society,23 April 2013,"$172,933.00"
Specialized Residential Care,Service Contract,Extension,Iqaluit,Family Services,Independent Counselling Enterprises Inc.,01 April 2013,"$172,986.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Protegra Inc.,01 April 2015,"$173,382.00"
Specialized Residential Care,Service Contract,Extension,Kugluktuk,Family Services,Protegra Inc.,01 April 2013,"$173,405.00"
Group Home Windows and Doors Upgrades,Minor Construction or Services,Public Tender,Cambridge Bay,Family Services,Matador Products,15 September 2016,"$173,830.00"
Residential Care,Service Contract,Sole Source,Pangnirtung,Family Services,Partners in Parenting Inc.,01 April 2020,"$173,950.95"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$174,058.90"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$174,058.90"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Broken Arrow Residential Treatment Services,13 May 2013,"$174,284.00"
Residential Care,Service Contract,Sole Source,Igloolik,Family Services,Partners in Parenting Inc.,17 September 2020,"$174,454.20"
Residential Care,Consulting,Public Request for Proposals,Igloolik,Family Services,Bairn Croft Residential Services Inc.,06 May 2016,"$174,501.82"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Parkland Community Living & Support Services,01 April 2015,"$174,685.00"
Specialized Residential Care Treatment,Consulting,Sole Source,Arviat,Family Services,Vital Life Inc.,01 April 2016,"$175,825.50"
Residential Care,Consulting,Public Request for Proposals,Qikiqtaaluk Region,Family Services,Partners in Parenting Inc.,01 April 2017,"$177,025.00"
Residential Care,Service Contract,Extension,Coral Harbour,Family Services,6639977 Manitoba Ltd.,01 April 2014,"$177,025.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Vital Life Incorporated,01 April 2015,"$177,286.00"
Family Care Provider,Consulting,Sole Source,Baker Lake,Family Services,Judy Borne,01 April 2017,"$177,325.00"
Residential Care,Consulting,Sole Source,Coral Harbour,Family Services,Broken Arrow Residential Treatment Services,01 April 2015,"$177,600.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2014,"$177,609.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2014,"$177,609.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$178,895.64"
